method,source_cents,condition,nuisance_seed,waveform_sha256,repeat,position,elapsed_ms,encoder_source_sha256,python,numpy
legacy-point,6000,clean,17,6a1290eb00ecd8d9cbfd7c3702777c5ac15c9335c73f71d53ef2335c8111088a,3,1,7.643034,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6000,clean,17,6a1290eb00ecd8d9cbfd7c3702777c5ac15c9335c73f71d53ef2335c8111088a,3,2,8.416027,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,6000,clean,17,6a1290eb00ecd8d9cbfd7c3702777c5ac15c9335c73f71d53ef2335c8111088a,4,0,8.412001,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6000,clean,17,6a1290eb00ecd8d9cbfd7c3702777c5ac15c9335c73f71d53ef2335c8111088a,4,1,10.835973,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6000,clean,17,6a1290eb00ecd8d9cbfd7c3702777c5ac15c9335c73f71d53ef2335c8111088a,4,2,7.839292,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,0,0,8.340632,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,0,1,11.151007,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,0,2,8.627422,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,1,0,10.900577,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,1,1,8.652066,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,1,2,7.819499,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,2,0,9.266599,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
